username,ip_score,time_score,device_score,frequency,geo_score,label
user344,0.74,0.17,0.67,4,0.48,0
user461,0.48,0.42,0.84,1,0.27,0
user141,0.97,0.08,0.91,8,0.59,0
user265,0.85,0.67,0.77,5,0.88,1
user63,0.38,0.83,0.97,2,0.19,0
user183,0.41,0.5,0.69,8,0.01,0
user427,0.74,0.08,0.51,6,0.6,0
user396,0.38,0.25,0.81,2,0.08,0
user193,0.46,0.75,0.77,1,0.35,0
user401,0.4,0.42,0.67,9,0.59,0
user21,0.48,0.33,0.96,5,0.16,0
user132,0.69,0.75,0.89,4,0.79,1
user120,0.61,0.0,0.85,10,0.54,0
user446,0.77,0.58,0.58,9,0.26,0
user341,0.45,0.33,0.66,10,0.64,0
user459,0.3,0.58,0.9,6,0.42,0
user373,0.93,0.42,0.5,5,0.12,0
user250,0.91,0.58,0.36,10,0.68,0
user119,0.64,0.75,0.77,4,0.58,1
user386,0.85,0.25,0.85,6,0.2,0
user162,0.35,0.92,0.65,4,0.63,0
user116,0.39,0.25,0.7,8,0.69,0
user331,0.74,0.75,0.69,3,0.51,1
user398,0.42,0.83,0.96,4,0.67,0
user376,0.61,0.67,0.21,3,0.15,0
user362,0.73,0.58,0.66,4,0.14,0
user15,0.89,0.42,0.5,3,0.66,0
user93,0.57,0.08,0.79,10,0.36,0
user364,0.5,0.75,0.25,9,0.05,0
user216,0.45,0.83,0.94,3,0.08,0
user97,0.54,0.75,0.67,7,0.29,0
user497,0.44,0.17,0.79,3,0.43,0
user75,0.47,0.17,0.78,10,0.63,0
user311,0.3,0.5,0.66,7,0.59,0
user281,0.35,0.33,0.74,7,0.33,0
user143,0.84,0.75,0.52,8,0.73,1
user140,0.88,0.92,0.06,7,0.52,0
user301,0.99,0.42,0.89,5,0.42,0
user187,0.33,0.5,0.79,7,0.67,0
user251,0.83,1.0,0.65,2,0.04,0
user271,0.44,0.75,0.52,3,0.37,0
user368,0.72,0.17,0.67,10,0.04,0
user243,0.77,0.75,0.45,4,0.18,0
user222,0.58,0.75,0.12,8,0.62,0
user235,0.37,0.75,0.72,10,0.04,0
user382,0.65,0.5,0.79,9,0.31,0
user183,0.42,0.0,0.53,1,0.66,0
user445,0.5,0.5,0.94,2,0.19,0
user68,0.81,0.42,0.62,9,0.45,0
user419,0.35,1.0,0.81,7,0.37,0
user377,0.67,0.08,0.95,5,0.24,0
user176,0.74,0.17,0.85,9,0.2,0
user335,0.33,0.83,0.9,9,0.35,0
user442,0.48,0.67,0.92,10,0.8,0
user178,0.84,0.0,0.83,1,0.47,0
user418,0.79,0.42,0.52,9,0.27,0
user76,0.47,0.42,0.88,9,0.67,0
user347,0.57,0.92,0.79,8,0.04,0
user418,0.44,0.25,0.74,1,0.28,0
user269,0.5,0.42,0.97,5,0.57,0
user80,0.85,0.83,0.91,2,0.58,1
user377,0.34,0.75,0.99,1,0.75,0
user309,0.54,0.83,0.92,10,0.41,0
user476,0.98,0.25,0.6,1,0.48,0
user343,0.84,0.33,0.98,4,0.51,0
user117,0.45,0.25,0.61,1,0.67,0
user122,0.49,0.92,0.56,5,0.03,0
user249,0.31,0.67,0.85,10,0.06,0
user24,0.65,0.25,0.33,1,0.26,0
user388,0.32,0.17,0.87,2,0.21,0
user267,0.42,0.5,0.88,10,0.11,0
user291,0.9,0.33,0.55,5,0.66,0
user428,0.58,0.75,0.76,2,0.53,0
user143,0.39,0.33,0.56,8,0.02,0
user43,0.72,0.42,0.72,10,0.46,0
user153,0.79,0.92,0.65,5,0.48,0
user182,0.71,0.58,0.64,7,0.52,0
user424,0.92,0.67,0.57,10,0.36,0
user414,0.92,0.17,0.85,3,0.42,0
user366,0.91,1.0,0.81,9,0.58,1
user370,0.87,0.17,0.47,5,0.62,0
user349,0.44,0.92,0.76,4,0.34,0
user344,0.51,0.17,0.68,8,0.47,0
user99,0.55,0.08,0.59,10,0.28,0
user276,0.77,0.58,0.57,1,0.64,0
user10,0.53,0.08,0.7,9,0.19,0
user34,0.43,0.75,0.86,6,0.34,0
user426,0.96,0.58,0.89,2,0.39,0
user204,0.81,0.92,0.62,4,0.38,0
user125,0.59,0.75,0.76,1,0.57,0
user272,0.39,0.33,0.88,7,0.47,0
user413,0.82,0.33,0.67,2,0.92,0
user186,0.73,0.75,0.85,9,0.4,0
user431,0.74,0.58,0.68,10,0.75,0
user172,0.64,0.0,0.79,10,0.62,0
user272,0.69,0.83,0.6,10,0.49,0
user133,0.56,0.25,0.55,6,0.59,0
user109,0.5,0.17,0.94,6,0.83,0
user147,0.35,1.0,0.87,7,0.53,0
user332,0.62,0.75,0.6,7,0.3,0
user26,0.54,0.5,0.62,1,0.06,0
user169,0.82,0.08,0.06,2,0.43,0
user268,0.93,0.33,0.36,9,0.48,0
user477,0.6,0.67,0.71,6,0.48,0
user295,0.5,0.08,0.62,7,0.4,0
user111,0.88,0.92,0.87,2,0.68,1
user39,0.6,0.58,0.88,10,0.35,0
user300,0.55,0.92,0.55,8,0.29,0
user342,0.47,1.0,0.82,10,0.69,0
user131,0.31,0.5,0.7,6,0.17,0
user288,0.69,0.92,0.75,5,0.15,0
user456,0.63,0.33,0.46,10,0.1,0
user330,0.93,0.5,0.61,9,0.62,0
user103,0.64,0.75,0.88,1,0.66,1
user249,0.97,0.33,0.73,3,0.54,0
user38,0.53,0.08,0.46,2,0.07,0
user212,0.52,0.92,0.75,5,0.46,0
user86,0.45,0.75,0.71,5,0.48,0
user447,0.47,0.92,0.74,6,0.03,0
user72,0.54,0.67,0.19,4,0.22,0
user247,0.36,0.08,0.38,7,0.29,0
user77,0.3,0.42,0.83,6,0.3,0
user302,0.32,1.0,0.14,1,0.37,0
user36,0.9,0.08,0.77,2,0.21,0
user211,0.67,0.08,0.94,6,0.37,0
user124,0.48,0.17,0.59,9,0.32,0
user5,0.8,1.0,0.51,9,0.25,0
user378,0.84,0.58,0.66,2,0.53,0
user174,0.37,0.75,0.77,8,0.44,0
user368,0.45,0.75,0.23,7,0.04,0
user243,0.55,0.08,0.14,2,0.36,0
user25,0.76,0.58,0.34,3,0.29,0
user108,0.47,0.25,0.85,9,0.48,0
user198,0.77,0.67,0.9,1,0.11,0
user427,0.44,0.08,0.41,9,0.14,0
user410,0.86,0.58,0.94,3,0.44,0
user485,0.39,0.25,0.8,10,0.42,0
user397,0.77,0.08,0.66,10,0.48,0
user226,0.89,0.58,0.51,3,0.67,0
user196,0.31,0.67,0.99,10,0.16,0
user321,0.57,0.08,0.83,2,0.54,0
user436,0.88,0.17,0.77,8,0.86,0
user213,0.39,0.17,0.83,1,0.41,0
user482,0.8,0.08,0.98,5,0.02,0
user439,0.96,0.75,0.86,9,0.65,1
user104,0.92,0.67,0.38,7,0.1,0
user248,0.77,1.0,0.78,7,0.69,1
user273,0.4,0.92,0.68,8,0.51,0
user315,0.94,0.58,0.96,9,0.69,0
user243,0.69,0.67,0.79,10,0.39,0
user51,0.51,0.42,0.07,5,0.04,0
user214,0.82,0.92,0.83,4,0.33,0
user326,0.33,0.5,0.92,3,0.51,0
user38,0.36,0.33,0.61,5,0.65,0
user37,0.42,0.25,0.58,6,0.54,0
user457,0.65,0.42,0.66,8,0.64,0
user330,0.43,1.0,0.68,8,0.23,0
user82,0.82,0.67,0.88,10,0.93,1
user414,0.89,1.0,0.75,1,0.21,0
user39,0.49,0.75,0.99,2,0.43,0
user209,0.91,0.58,0.72,3,0.91,0
user122,0.47,0.58,0.73,1,0.68,0
user162,0.53,0.33,0.74,3,0.22,0
user334,0.84,0.42,0.83,1,0.51,0
user486,0.38,1.0,0.52,8,0.04,0
user206,0.53,0.33,0.54,9,0.39,0
user456,0.72,0.83,0.88,2,0.63,1
user150,0.5,0.33,0.5,6,0.2,0
user296,0.8,0.5,0.07,1,0.25,0
user84,0.32,0.5,0.73,8,0.09,0
user257,0.42,1.0,0.92,5,0.43,0
user344,0.76,0.17,0.94,10,0.32,0
user29,0.78,0.92,0.56,7,0.49,0
user54,1.0,0.75,0.05,8,0.51,0
user38,0.89,0.67,0.61,10,0.66,1
user26,0.68,0.58,0.87,8,0.95,0
user402,0.87,0.5,0.68,9,0.8,0
user224,0.31,0.58,0.85,2,0.49,0
user4,0.99,0.67,0.94,2,0.23,0
user107,0.85,0.83,0.9,8,0.07,0
user229,0.36,0.92,0.64,1,0.89,0
user115,0.33,0.67,0.93,6,0.68,0
user401,0.55,0.5,0.99,6,0.11,0
user67,0.96,0.67,0.58,9,0.3,0
user323,0.84,0.33,0.26,5,0.27,0
user208,0.63,0.92,0.77,2,0.81,1
user222,0.82,0.92,0.68,5,0.68,1
user264,0.73,0.08,0.68,1,0.46,0
user200,0.37,0.92,0.64,10,0.28,0
user318,0.52,0.75,0.53,3,0.05,0
user272,0.92,0.25,0.82,7,0.52,0
user148,0.85,0.33,0.57,5,0.34,0
user198,0.98,0.25,0.65,10,0.1,0
user429,0.89,0.83,0.88,4,0.68,1
user15,0.54,0.42,0.74,5,0.65,0
user301,0.4,0.08,0.84,3,0.55,0
user387,0.82,0.5,0.65,10,0.14,0
user208,0.65,0.25,0.79,3,0.05,0
user85,0.36,0.92,0.6,9,0.51,0
user461,0.76,0.83,0.83,6,0.37,0
user464,0.96,0.5,0.91,9,0.54,0
user166,0.74,0.08,0.87,1,0.34,0
user57,0.35,0.67,0.96,3,0.51,0
user300,0.71,0.17,0.98,10,0.55,0
user222,0.6,0.42,0.77,9,0.42,0
user198,0.72,0.08,0.61,8,0.36,0
user296,0.66,1.0,0.73,8,0.25,0
user187,0.93,0.67,0.85,6,0.33,0
user183,0.9,0.42,0.93,9,0.67,0
user448,0.89,0.92,0.59,5,0.54,1
user200,0.79,0.5,0.77,3,0.68,0
user436,0.99,0.83,0.61,1,0.59,1
user61,0.31,0.5,0.74,2,0.18,0
user188,0.69,0.42,0.6,1,0.54,0
user304,0.66,0.17,0.57,1,0.48,0
user308,0.52,0.08,0.56,6,0.59,0
user135,0.8,0.67,0.9,10,0.54,1
user233,0.39,0.75,0.75,2,0.04,0
user236,0.54,0.92,0.74,10,0.18,0
user55,0.62,0.67,0.54,5,0.18,0
user9,0.84,0.67,0.53,1,0.4,0
user329,0.53,0.08,0.11,8,0.47,0
user289,0.61,0.17,0.72,6,0.64,0
user42,0.85,0.67,0.61,10,0.14,0
user490,0.35,0.5,0.26,8,0.27,0
user257,0.99,0.17,0.51,5,0.1,0
user30,0.45,0.0,0.5,8,0.69,0
user305,0.53,0.83,0.64,4,0.06,0
user160,0.93,1.0,0.84,5,0.64,1
user405,0.72,0.92,0.83,8,0.03,0
user281,0.92,0.08,0.1,6,0.25,0
user34,0.33,0.5,0.76,6,0.2,0
user460,0.76,1.0,0.61,1,0.36,0
user123,0.85,0.17,0.8,6,0.66,0
user415,0.97,0.5,0.96,3,0.2,0
user324,0.37,0.08,0.05,7,0.54,0
user15,0.5,0.5,0.95,7,0.41,0
user366,0.42,0.42,0.98,6,0.68,0
user133,0.38,0.42,0.67,6,0.5,0
user134,0.87,0.67,0.99,7,0.19,0
user13,0.43,0.92,0.77,10,0.49,0
user83,0.76,0.58,0.58,4,0.06,0
user232,0.8,0.83,0.49,10,0.0,0
user500,0.57,0.83,0.62,8,0.38,0
user386,0.81,0.92,0.05,10,0.37,0
user420,0.94,0.92,0.74,9,0.67,1
user467,0.88,0.33,0.65,2,0.65,0
user149,0.61,0.5,0.64,10,0.49,0
user455,0.88,0.83,0.57,9,0.62,1
user59,0.69,0.67,0.96,9,0.49,0
user277,0.61,0.0,0.28,6,0.35,0
user50,0.31,0.75,0.72,8,0.23,0
user225,0.57,0.42,0.99,10,0.58,0
user307,0.32,1.0,0.57,7,0.34,0
user91,0.6,0.25,0.73,8,0.49,0
user262,0.44,0.5,0.62,6,0.68,0
user24,0.53,0.67,0.81,1,0.3,0
user428,0.5,0.67,0.5,10,0.37,0
user341,0.48,0.58,0.82,10,0.6,0
user244,0.83,0.33,0.81,10,0.15,0
user106,0.32,0.83,0.94,6,0.39,0
user316,0.8,0.08,0.81,5,0.48,0
user209,0.63,0.83,0.51,8,0.65,1
user350,0.35,0.0,0.63,3,0.39,0
user189,0.89,0.08,0.72,2,0.68,0
user261,0.93,1.0,0.55,1,0.49,0
user296,0.82,0.33,0.59,6,0.1,0
user495,0.41,0.75,0.57,3,0.04,0
user386,0.48,0.67,0.89,6,0.13,0
user408,0.64,0.92,0.61,4,0.51,1
user211,0.66,0.5,0.57,9,0.37,0
user395,0.88,0.08,0.71,6,0.65,0
user58,0.34,0.42,1.0,10,0.13,0
user192,0.97,0.92,0.81,3,0.55,1
user304,0.81,0.92,0.84,2,0.21,0
user376,0.59,0.5,0.76,3,0.29,0
user307,0.68,0.83,0.53,8,0.2,0
user185,0.41,0.58,0.52,5,0.02,0
user241,0.65,0.58,0.88,3,0.24,0
user113,0.61,0.75,0.79,4,0.03,0
user150,0.39,0.25,0.64,4,0.13,0
user63,0.83,0.25,0.88,10,0.01,0
user236,0.4,0.42,0.61,4,0.52,0
user465,0.33,0.75,0.53,4,0.59,0
user407,0.48,0.83,0.6,2,0.45,0
user322,0.95,0.42,0.73,4,0.01,0
user416,0.94,0.92,0.55,4,0.14,0
user358,0.77,0.75,0.51,3,0.11,0
user356,0.89,0.5,0.63,2,0.23,0
user100,0.31,0.58,0.87,5,0.45,0
user392,0.74,1.0,0.63,1,0.59,1
user410,0.68,0.5,0.62,7,0.37,0
user296,0.97,0.08,0.71,2,0.7,0
user162,0.67,0.5,0.96,2,0.21,0
user489,0.35,0.25,0.74,8,0.63,0
user239,0.31,0.5,0.81,7,0.51,0
user48,0.85,0.08,0.84,7,0.99,0
user27,0.53,0.08,0.66,6,0.3,0
user165,0.67,0.67,0.78,2,0.33,0
user219,0.87,0.08,0.58,5,0.56,0
user82,0.3,0.33,0.98,2,0.46,0
user68,0.91,0.08,0.42,4,0.47,0
user185,0.77,0.5,0.95,9,0.26,0
user219,0.52,0.25,0.89,3,0.6,0
user401,0.73,0.5,0.73,10,0.08,0
user61,0.42,1.0,0.3,2,0.04,0
user412,0.46,0.92,0.72,8,0.55,0
user171,0.78,0.08,0.57,3,0.24,0
user129,0.64,0.25,0.63,6,0.01,0
user186,0.48,0.5,0.61,3,0.23,0
user376,0.32,0.92,0.73,9,0.05,0
user119,0.72,0.42,0.78,6,0.5,0
user379,0.66,0.25,0.98,4,0.08,0
user77,0.48,0.17,0.53,8,0.38,0
user72,0.69,1.0,0.63,1,0.01,0
user232,0.95,0.33,0.37,7,0.29,0
user210,0.36,0.25,1.0,6,0.02,0
user392,0.86,0.17,0.52,7,0.17,0
user307,0.84,0.5,0.51,1,0.27,0
user105,0.76,0.42,0.76,4,0.53,0
user339,1.0,0.42,0.99,10,0.15,0
user148,0.65,0.42,0.63,4,0.39,0
user21,0.78,0.75,0.31,9,0.01,0
user213,0.67,0.42,0.78,7,0.25,0
user76,0.44,0.08,0.75,7,0.29,0
user273,0.7,0.42,0.6,1,0.47,0
user484,0.57,0.75,0.68,10,0.12,0
user32,0.96,0.08,0.69,6,0.51,0
user372,0.75,0.75,0.55,6,0.4,0
user228,0.83,0.08,0.94,2,0.03,0
user198,0.66,0.42,0.95,3,0.53,0
user436,0.61,0.17,0.54,3,0.4,0
user114,0.48,0.0,0.96,1,0.62,0
user234,0.76,0.83,0.72,8,0.36,0
user361,1.0,0.08,0.53,9,0.63,0
user367,0.52,0.17,0.55,7,0.71,0
user179,0.9,0.33,0.73,9,0.11,0
user428,0.65,0.5,0.87,7,0.2,0
user49,0.53,0.83,0.93,3,0.19,0
user397,0.5,0.83,0.83,5,0.44,0
user472,0.43,0.67,0.99,3,0.38,0
user472,0.49,0.75,0.99,7,0.25,0
user105,0.53,0.0,0.81,3,0.21,0
user318,0.45,0.58,0.53,2,0.59,0
user195,0.44,0.0,0.78,10,0.39,0
user302,0.59,0.17,0.82,1,0.07,0
user440,0.86,1.0,0.96,3,0.44,0
user283,0.95,0.08,0.75,10,0.24,0
user21,0.44,0.33,0.73,8,1.0,0
user433,0.92,0.83,0.84,8,0.6,1
user119,0.73,0.17,0.72,7,0.53,0
user417,0.42,0.08,0.04,3,0.31,0
user353,0.89,0.25,0.59,6,0.32,0
user246,0.95,0.67,0.56,6,0.05,0
user35,0.98,0.42,0.71,5,0.69,0
user213,0.83,0.75,0.9,7,0.49,0
user342,0.48,0.0,0.56,3,0.62,0
user48,0.54,0.42,0.02,10,0.33,0
user405,0.48,0.67,0.89,9,0.98,0
user148,0.34,0.67,0.92,9,0.35,0
user208,0.78,0.5,0.96,5,0.96,0
user306,0.89,0.5,0.99,6,0.37,0
user393,0.7,0.83,0.91,9,0.54,1
user279,0.65,0.83,0.82,9,0.21,0
user333,0.98,0.08,0.19,8,0.21,0
user367,0.35,0.75,0.07,10,0.18,0
user147,0.82,0.25,0.65,9,0.57,0
user40,0.94,0.17,0.67,10,0.72,0
user477,0.73,0.92,0.9,10,0.64,1
user170,0.38,0.92,0.64,9,0.26,0
user98,0.5,0.92,0.7,2,0.55,0
user69,0.71,0.67,0.73,9,0.56,1
user19,0.55,0.92,0.79,7,0.02,0
user47,0.82,0.25,0.95,4,0.11,0
user297,0.83,0.92,0.55,5,0.63,1
user3,0.73,0.67,0.97,10,0.19,0
user19,0.58,0.58,0.9,2,0.77,0
user366,0.72,0.42,0.9,9,0.11,0
user71,0.88,0.33,0.94,5,0.64,0
user310,0.49,0.75,0.97,4,0.69,0
user128,0.63,0.42,0.56,5,0.61,0
user437,0.82,1.0,0.13,4,0.15,0
user163,0.35,0.75,0.77,8,0.37,0
user299,0.68,1.0,0.52,6,0.19,0
user469,0.8,0.92,0.67,10,0.11,0
user119,0.35,0.58,0.67,9,0.68,0
user25,0.58,0.17,0.59,2,0.35,0
user140,0.57,0.42,0.84,5,0.2,0
user440,0.45,0.5,0.93,10,0.63,0
user277,0.76,0.83,0.77,6,0.25,0
user274,0.92,0.75,0.61,9,0.9,1
user185,0.41,0.75,0.99,8,0.61,0
user41,0.82,0.67,0.92,6,0.33,0
user440,0.73,0.75,1.0,9,0.33,0
user147,0.88,0.5,0.51,8,0.55,0
user51,0.35,0.17,0.78,9,0.69,0
user129,0.82,0.83,0.57,4,0.23,0
user188,0.76,0.92,0.5,9,0.6,0
user141,0.32,0.92,0.65,8,0.28,0
user275,0.52,0.5,0.76,6,0.47,0
user230,0.54,0.92,0.83,1,0.28,0
user470,0.87,0.0,0.88,6,0.62,0
user196,0.72,0.25,0.64,4,0.4,0
user493,0.83,0.67,0.59,3,0.03,0
user240,0.34,0.33,0.74,4,0.6,0
user465,0.62,0.58,0.59,7,0.25,0
user23,0.68,0.58,0.52,9,0.18,0
user243,0.65,0.5,0.77,10,0.05,0
user166,0.79,0.92,0.08,9,0.25,0
user423,0.96,0.58,0.76,9,0.4,0
user188,0.65,0.83,0.65,2,0.39,0
user201,0.76,0.75,0.03,1,0.57,0
user176,0.95,0.0,0.6,1,0.08,0
user335,0.7,0.5,0.74,5,0.29,0
user29,0.34,0.5,0.72,10,0.48,0
user89,0.66,0.08,0.77,8,0.26,0
user42,0.37,0.17,0.39,3,0.02,0
user402,0.42,0.33,0.76,2,0.07,0
user291,0.32,0.75,0.82,2,0.54,0
user250,0.4,0.83,0.53,3,0.9,0
user133,0.94,0.5,0.86,1,0.25,0
user13,0.65,0.75,0.96,8,0.95,1
user111,0.71,0.42,0.57,3,0.94,0
user383,0.94,0.67,0.85,9,0.68,1
user292,0.37,0.67,0.07,5,0.32,0
user201,0.91,0.08,0.37,7,0.25,0
user444,0.76,0.83,0.92,3,0.35,0
user44,0.83,0.75,0.71,10,0.55,1
user260,0.74,0.42,1.0,4,0.13,0
user422,0.59,0.83,0.68,2,0.73,0
user294,0.61,0.67,0.58,3,0.12,0
user497,0.54,0.67,0.6,3,0.46,0
user478,0.56,0.92,0.89,10,0.07,0
user38,0.3,0.25,0.54,4,0.53,0
user10,0.66,0.33,0.55,9,0.45,0
user227,0.31,0.17,0.23,3,0.09,0
user280,0.42,0.58,0.63,1,0.15,0
user459,0.82,0.58,0.59,1,0.36,0
user40,0.89,0.67,0.53,7,0.19,0
user463,0.5,0.58,0.74,8,0.82,0
user243,0.68,0.42,0.75,2,0.5,0
user142,0.49,0.33,0.56,1,0.53,0
user425,0.79,0.67,0.67,6,0.51,1
user170,0.62,0.42,0.96,2,0.68,0
user326,0.84,0.25,0.15,1,0.3,0
user486,0.95,0.58,0.65,4,0.29,0
user19,0.75,0.92,0.81,3,0.19,0
user59,0.97,0.67,0.51,4,0.26,0
user108,0.34,0.25,0.66,5,0.24,0
user41,0.75,0.25,0.71,9,0.61,0
user112,0.82,0.08,0.88,4,0.08,0
user465,0.4,0.92,0.84,2,0.19,0
user297,0.32,0.83,0.68,3,0.13,0
user178,0.93,0.25,0.6,6,0.56,0
user256,0.52,0.25,0.61,1,0.13,0
user197,0.64,0.75,0.92,4,0.46,0
user145,0.85,0.75,0.9,7,0.35,0
user3,0.7,0.25,0.51,3,0.78,0
user91,0.81,0.17,0.95,10,0.14,0
user467,0.92,0.67,0.65,3,0.31,0
user262,0.44,0.92,0.81,8,0.08,0
user168,0.71,0.42,0.82,4,0.14,0
user81,0.91,0.0,0.64,3,0.33,0
user26,0.95,0.92,0.91,3,0.49,0
user248,0.62,0.5,0.78,5,0.32,0
user233,0.54,0.17,0.58,9,0.5,0
user120,0.54,0.33,0.89,7,0.68,0
user311,0.78,0.33,0.87,8,0.53,0
user144,0.66,0.08,0.71,7,0.66,0
user478,0.32,0.08,0.54,2,0.28,0
user415,0.64,0.92,0.56,2,0.32,0
user17,0.34,0.5,0.74,2,0.96,0
user495,0.81,0.33,0.99,1,0.55,0
user140,0.36,0.42,0.78,6,0.02,0
user288,0.4,0.17,1.0,1,0.57,0
user349,0.94,0.33,0.49,6,0.08,0
user460,0.66,0.25,0.6,2,0.53,0
user489,0.76,0.67,0.8,8,0.52,1
user239,0.62,0.75,0.68,7,0.19,0
user159,0.62,0.0,0.88,8,0.43,0
user229,0.41,0.58,0.78,7,0.28,0
user223,0.44,0.92,0.94,8,0.9,0
user80,0.66,0.83,0.58,2,0.11,0
user262,0.79,0.67,0.51,10,0.41,0
user335,0.62,0.5,0.69,4,0.39,0
user214,0.46,0.92,0.9,7,0.18,0
user107,0.67,0.67,0.54,1,0.04,0
user251,0.46,0.5,0.74,9,0.69,0
user394,0.76,0.25,0.74,10,0.59,0
user82,0.52,0.17,0.8,10,0.56,0
user42,0.55,0.08,0.58,7,0.59,0
user159,0.35,0.17,0.76,10,0.76,0
user457,0.59,0.08,0.86,9,0.58,0
user270,0.6,0.67,0.86,6,0.48,0
user233,0.92,0.58,0.88,1,0.49,0
user401,0.71,0.58,0.66,8,0.48,0
user170,0.64,0.0,1.0,10,0.11,0
user131,0.67,0.75,0.9,5,0.52,1
user408,0.36,0.67,0.61,4,0.26,0
user114,0.81,0.25,0.53,9,0.27,0
user216,0.31,0.17,0.78,3,0.27,0
user194,0.95,0.58,0.29,2,0.5,0
user247,0.71,0.58,0.83,5,0.59,0
user361,0.61,0.5,0.93,7,0.15,0
user473,0.84,0.75,0.13,9,0.52,0
user413,0.99,0.42,0.57,10,0.23,0
user405,0.45,0.42,0.82,10,0.57,0
user171,0.86,0.5,0.62,7,0.52,0
user86,0.43,0.25,0.75,8,0.73,0
user350,0.39,0.08,0.88,9,0.68,0
user271,0.32,0.17,0.77,1,0.62,0
user474,0.68,1.0,0.84,2,0.39,0
user161,0.38,0.5,0.44,3,0.07,0
user422,0.66,0.58,0.69,10,0.52,0
user317,0.39,0.75,0.09,10,0.88,0
user214,0.94,1.0,0.6,9,0.39,0
user110,0.42,0.75,0.62,2,0.61,0
user482,0.95,0.5,0.66,6,0.34,0
user467,0.96,0.5,0.71,2,0.61,0
user169,1.0,0.25,0.27,9,0.1,0
user4,0.5,0.83,0.85,2,0.5,0
user207,0.8,0.5,0.66,2,0.63,0
user138,0.41,0.25,0.55,7,0.63,0
user296,0.63,0.08,0.83,8,0.36,0
user110,0.66,0.92,0.65,4,0.44,0
user373,0.7,0.75,0.76,6,0.51,1
user431,0.54,0.08,0.87,7,0.26,0
user296,0.8,0.25,0.82,3,0.0,0
user210,0.76,0.92,0.65,2,0.06,0
user224,0.98,0.25,0.74,9,0.31,0
user159,0.98,0.92,0.64,2,0.15,0
user213,0.77,0.5,0.87,7,0.62,0
user18,0.9,0.58,0.62,9,0.06,0
user26,0.37,0.92,0.92,5,0.63,0
user394,0.7,0.17,0.63,9,0.19,0
user379,0.67,0.25,0.94,6,0.38,0
user352,0.81,0.67,0.08,3,0.23,0
user350,0.63,0.08,0.77,1,0.43,0
user276,0.44,0.33,0.51,5,0.51,0
user175,0.36,0.42,0.81,10,0.7,0
user483,0.99,0.42,0.97,6,0.69,0
user1,0.65,0.92,0.06,3,0.0,0
user177,0.79,1.0,0.95,3,0.17,0
user252,0.99,1.0,0.97,9,0.23,0
user13,0.66,0.5,0.99,7,0.33,0
user17,0.61,0.42,0.85,5,0.47,0
user243,0.86,0.17,0.67,1,0.55,0
user396,0.67,0.33,0.77,1,0.52,0
user60,0.38,0.0,0.64,3,0.07,0
user103,0.55,0.67,0.52,9,0.22,0
user477,0.33,0.08,0.81,9,0.62,0
user99,0.95,0.17,0.86,7,0.36,0
user282,0.46,0.42,0.68,5,0.5,0
user441,0.87,0.0,0.27,7,0.87,0
user354,0.37,0.42,0.74,3,0.45,0
user39,0.77,0.25,0.25,6,0.29,0
user247,0.84,0.67,0.99,9,0.41,0
user328,0.36,0.25,0.99,7,0.02,0
user450,0.78,0.08,0.94,3,0.43,0
user451,0.61,0.92,0.65,4,0.06,0
user78,0.44,0.08,0.87,8,0.11,0
user112,0.43,0.08,0.56,4,0.12,0
user399,0.57,0.42,0.55,4,0.04,0
user417,0.36,0.5,0.76,3,0.4,0
user429,0.46,0.08,0.99,3,0.18,0
user245,0.31,0.83,0.94,3,0.38,0
user119,0.31,0.67,0.59,2,0.21,0
user485,0.34,0.58,0.45,3,0.52,0
user231,0.38,0.58,0.69,8,0.7,0
user311,0.56,0.25,0.81,10,0.06,0
user394,0.96,0.42,0.59,6,0.57,0
user244,0.63,0.58,0.72,9,0.55,0
user201,0.62,1.0,0.74,7,0.67,1
user16,0.58,0.17,0.97,1,0.12,0
user427,0.82,0.5,0.87,1,0.6,0
user163,0.55,0.83,0.64,8,0.17,0
user383,0.52,0.42,0.55,9,0.1,0
user480,0.39,0.58,0.82,10,0.56,0
user295,0.49,0.75,0.82,3,0.54,0
user474,0.59,0.75,0.51,9,0.07,0
user224,0.63,0.67,0.52,2,0.52,1
user110,0.79,0.5,0.55,4,0.62,0
user152,0.66,0.67,0.85,9,0.05,0
user30,0.42,0.42,0.57,2,0.78,0
user442,0.53,0.25,0.83,3,0.77,0
user361,0.42,0.92,0.82,4,0.11,0
user125,0.77,0.67,0.72,8,0.4,0
user64,0.51,0.58,0.51,7,0.68,0
user122,0.93,0.25,0.89,1,0.31,0
user332,0.36,0.33,0.5,10,0.51,0
user37,0.43,0.0,0.91,9,0.61,0
user352,0.51,0.67,0.45,3,0.07,0
user13,0.69,0.67,0.64,7,0.5,0
user408,0.94,0.25,0.63,7,0.52,0
user474,0.51,0.42,0.94,2,0.56,0
user31,0.71,0.42,0.71,9,0.69,0
user97,0.55,0.17,0.65,10,0.0,0
user225,0.48,0.67,0.67,2,0.16,0
user311,0.62,0.5,0.02,9,0.5,0
user241,0.64,1.0,0.22,6,0.64,0
user42,0.63,0.08,0.95,2,0.61,0
user379,0.34,0.67,0.87,9,0.56,0
user109,0.67,0.83,0.91,10,0.35,0
user278,0.45,0.58,0.37,9,0.32,0
user474,0.38,0.67,0.39,10,0.04,0
user261,0.73,0.83,0.57,4,0.32,0
user302,0.63,0.5,0.91,7,0.4,0
